code,year,Manip,Readty,Analy,Turn,Roe,Lev,Size,Comstate,Roc,PE,PS,Eps,Opps,Rps,Ncfops,IO,MO,ED,Beta,PB,sector,TOPSalary,Readty_predicted,Readty2,Lnma,Equity,Same,Digital,Big4
sz.000158,2014,0,14.21716636,0,312.085244,0.009819,0.5545,5553163381,0,1.3164,385.1406,1.177,-0.09,-0.29,5.68,0.13,54.7329,0.0003,0.887,1.02561,1.9937815,I,13.0958161,11.02183264,14.69344208,0,1,0,0,0
sz.000301,2014,0,12.54734,0.693147181,324.236788,0.072072,0.2155,3986897645,0,0.587,27.6515,6.0615,0.13,0.17,0.44,-0.46,37.6301,0,0.7804,0.90989,1.53551175,C,14.97173147,12.43095297,13.0388236,0,1,1,0,0
sz.000333,2014,1,10.77008144,3.610917913,284.259846,0.266078,0.6198,1.20292E+11,0,0.372,18.3941,0.9562,0.56,0.73,7.53,3.29,61.68,4.8017,0.7632,0.82776,2.0456445,C,16.65750879,13.80567715,11.27160785,0.693147181,0,1,1,0
sz.000338,2014,1,10.54144645,2.833213344,387.946745,0.154754,0.6607,1.20412E+11,410632752,0.4363,15.0251,0.9357,0.34,0.77,14.56,2.03,60.7389,1.594,0.8139,1.04785,1.03491975,C,15.40617352,12.84995035,11.01812805,0.693147181,1,1,0,1
sz.000400,2014,0,11.45410556,3.135494216,617.991787,0.187367,0.4223,10792195754,413969597,-0.0206,29.3506,2.3328,0.59,0.78,4.97,-0.38,51.9514,0.0174,0.7166,1.04678,3.69624375,C,14.45240533,12.00864918,11.95040024,0,1,0,1,0
sz.000401,2014,1,13.22674163,3.091042453,297.860274,0.002943,0.695,44054273385,0,0.5413,88.8511,1.121,0.02,-0.3,8.9,1.34,82.7192,0.0051,1.2168,0.94063,0.97904,C,14.56328843,12.24483014,13.72118623,0.693147181,1,0,0,0
sz.000403,2014,0,10.66535348,0.693147181,596.60241,0.28971,0.6158,1193805925,0,0.1323,84.3602,10.1564,0.44,0.22,1.1,0.13,41.3596,0.0095,1.5158,0.72216,11.317425,C,15.56270858,12.88235916,11.13127022,0,0,1,0,0
sz.000404,2014,1,11.09217431,1.386294361,644.848243,0.091001,0.5916,6604536575,64102564,0.3138,31.065,0.6739,0.29,0.53,10.08,0.89,39.2372,0.1906,0.9537,0.93902,1.3622115,C,15.39852256,12.79335721,11.59158626,0.693147181,1,0,0,0
sz.000409,2014,2,14.41557675,0,361.381196,-0.030297,0.6174,3311944552,134940970,-0.2095,54.2021,11.7763,0.03,0.07,0.57,-0.23,54.6209,0,0.17,1.02736,4.212367,I,13.90150567,11.59737556,14.87382499,1.098612289,1,0,0,0
sz.000423,2014,1,16.84801675,3.295836866,298.27413,0.230572,0.192,7459925145,0,-0.0576,20.5547,6.0707,1.41,1.66,3.98,-0.36,43.6937,0.0543,1.2587,0.67567,3.993256,C,14.88345778,12.15348726,17.32156831,0.693147181,1,0,1,1
sz.000425,2014,0,11.43398656,1.609437912,281.226277,0.020543,0.5816,48850537738,3614822,0.9671,24.1277,1.1767,0.03,0.03,1.83,0.12,62.3244,0.0023,0.3246,1.20648,0.97966025,C,15.38766209,12.89501278,11.93020363,0,1,1,0,0
sz.000426,2014,0,15.78604304,1.791759469,549.767842,0.058507,0.2995,3932942136,0,0.5955,78.3604,8.6267,0.06,0.08,0.7,-0.14,61.3501,0.0233,0.2096,1.2785,2.1074655,B,13.88317014,11.67888668,16.267644,0,0,0,0,0
sz.000429,2014,0,12.52178782,0.693147181,303.923383,0.063545,0.5308,12513505946,431689889,0.6918,29.4048,4.6781,0.24,0.44,1.18,0.62,49.3627,0.0169,1.0082,0.80899,0.853108,G,14.20220119,11.81841386,13.00752763,0,1,0,0,0
sz.000509,2014,1,14.04480296,0,1167.782504,-1.198305,0.9803,626579990.4,0,-0.6545,110.3895,14.6862,0.05,0.04,0.1,-0.09,35.1,0,2.3701,0.86677,135.395648,Q,13.75107976,11.48266523,14.51942447,0.693147181,0,0,0,0
sz.000513,2014,1,13.54553914,2.48490665,155.663552,0.139585,0.441,7302605056,6059428,0.2778,26.7249,3.1655,1.43,2.62,22.43,1.33,86.5825,0,1,0.79911,3.624453,C,14.82616593,12.23311443,14.04136652,0.693147181,0,0,0,0
sz.000516,2014,0,12.55953194,3.044522438,864.691878,0.219739,0.5453,3513251084,0,1.066,52.2912,2.443,0.28,0.34,3.92,0.17,42.2268,1.644,0.9067,1.5705,4.16929275,Q,14.40329778,12.10132165,13.03815052,0,0,0,1,0
sz.000521,2014,0,10.91454944,3.091042453,657.172137,0.086044,0.6183,9009014202,540692,0.3205,17.4578,0.4718,0.31,0.43,14.62,-0.25,40.87,0.492,1.3332,1.09568,1.3242725,C,15.81643649,13.14953919,11.42761281,0,1,0,0,0
sz.000526,2014,2,12.92256194,0,389.316413,0.012573,0.215,200798246.5,0,-0.0031,-511.7647,181.0717,0.01,0.02,0.12,0.14,43.82,0,0.904,1.05878,11.170439,P,13.25444547,11.0570098,13.40189039,1.098612289,0,0,0,0
sz.000528,2014,0,11.11836257,1.609437912,499.997536,0.021823,0.5613,20801901583,0,0.978,42.5144,1.1248,0.16,0.16,6.99,0.64,47.9311,0.0183,1.0353,1.19989,0.95466975,C,14.74791154,12.33911264,11.61893428,0,1,0,0,0
sz.000531,2014,2,13.76316213,0.693147181,299.816979,0.205734,0.5359,7493168090,0,1.2204,22.0196,2.7983,0.76,1.32,5.5,0.58,64.4295,0.0003,0.261,1.20796,1.84843,D,14.0976782,11.75997293,14.2327421,1.098612289,1,0,0,0
sz.000533,2014,0,12.33344081,0,236.59078,0.09851,0.4837,3906410775,0,0.4351,21.6304,1.7847,0.13,0.22,3.9,0.04,41.3777,0,1.0758,1.15451,1.614986667,C,14.52453158,12.07730325,12.82530617,0,0,1,0,0
sz.000534,2014,0,12.51125422,0,619.210592,0.040332,0.5328,3489346882,0,0.722,25.9504,3.256,0.1,0.19,0.87,0.19,61.7504,0.7055,0.8678,0.87716,1.93613825,C,13.54107503,11.37946335,12.99722219,0,0,0,0,0
sz.000537,2014,0,14.73204675,0.693147181,679.114988,0.155057,0.481,4814283690,0,0.5175,15.3342,2.9816,0.13,0.24,0.68,0.04,24.0838,0.0011,0.1068,1.11707,1.545073,K,14.43565738,12.01435288,15.2033334,0,1,0,0,0
sz.000538,2014,0,13.23906472,3.33220451,177.568171,0.224056,0.3088,16341340194,0,-0.0712,28.425,4.1584,1.87,2.14,12.79,1.32,71.6695,0.0044,0.374,0.64118,5.575383,C,14.86608775,12.1397852,13.73719835,0,1,0,1,0
sz.000539,2014,0,10.46394628,1.609437912,144.147254,0.140965,0.5978,69084825852,1577865257,0.6505,12.2711,1.1126,0.58,1.26,6.12,1.57,74.9853,0.0001,0.2304,0.85222,0.921534,D,14.42891136,12.0199257,10.90528524,0,1,0,0,1
sz.000541,2014,1,14.06456403,2.397895273,679.675715,0.087409,0.1719,3736704336,0,0.4819,36.2571,3.9543,0.11,0.11,1.08,0.16,29.7159,0.0457,2.9146,0.81967,3.42348925,C,15.55781732,12.92330424,14.5533352,0.693147181,0,0,0,0
sz.000543,2014,0,12.28977949,1.386294361,344.703883,0.105033,0.4555,22981629711,28016529,0.7983,14.6208,1.076,0.67,1.56,9.47,2.33,59.5171,0.0457,0.2849,1.06185,0.80683575,D,14.26346092,11.87024073,12.75634049,0,1,0,0,0
sz.000544,2014,0,11.72478439,0,215.916845,0.074558,0.6067,2295876067,0,0.1034,57.6056,6.7424,0.04,0.02,0.38,-0.09,60.119,0.0457,1.3004,1.05417,3.486196333,D,13.85559724,11.57218321,12.20481792,0,1,1,0,0
sz.000546,2014,0,14.82097778,0,516.810795,0.079349,0.5812,4089621345,23136348,0.2591,-8689.54,2.8681,0.04,0.01,0.06,0.08,64.1823,6.6203,1.6491,0.92622,5.3320835,N,13.37467886,11.219953,15.27823303,0,0,0,0,0
sz.000551,2014,0,11.50790809,0.693147181,616.649712,0.02346,0.463,3282009607,0,0.0661,101.4199,1.7911,0.09,0.19,4.38,0.06,37.13,0,1.6769,1.08003,2.15755425,S,14.78731206,12.31118628,12.00475437,0,1,0,0,0
sz.000552,2014,0,11.44346722,1.609437912,577.263833,0.122575,0.5701,6301908042,363151268,0.008,18.1394,1.9496,0.38,0.43,3.54,0.08,74.7556,0,4.9735,1.21184,2.333833,B,14.08530942,11.81091107,11.96730874,0,1,0,0,0
sz.000555,2014,1,11.86272461,1.945910149,390.177072,0.095407,0.5375,6403363384,74142943,0.5134,62.5395,2.2547,0.05,0.04,3.28,-0.44,88.2565,0,0.6376,1.18538,6.597923667,I,15.32207397,12.89916448,12.33411459,0.693147181,0,0,0,0
sz.000568,2014,0,11.51228354,3.258096538,267.104221,0.090578,0.2564,13170818969,0,0.0129,10.0725,2.7424,0.2,0.28,0.81,1.08,65.2182,0.1642,0.3566,0.9567,2.4645315,C,14.89514422,12.40905223,12.01640211,0,1,0,1,0
